path	mode	git_blob_sha1	sha256
evidence-source-ledger.md	100644	82d7a8df4e97d2a4507e2277580cf244d11ad54a	16e8573b3c625cfda6dcf1efaccf5737b43e0be9c64301e84cdf6f5305750a59
ffmpeg-bink2.md	100644	71a2ec5bbb19824e4ee83f6859f80a522cfd14a6	f3589999d6e00e57ca7aecff2eda10f4e7e078642e6dd1bf3f757a24631941c2
firmware-lle-survey.md	100644	b9c17c2cfbdb23eb49cfd8e0e8321017e6ad2526	d59a6db84013a0d35ec47e351582f1fc179429b907e5a248c4e207ca9f22d0f4
game-harness/README.md	100644	dc05d72a00cc2576e23b7081ca34dd6e7ee472c6	a2b5f6b2415e592df0bc670778956ab280fe3e4a2626de802c72d75f31cba6d8
goal-prompt.md	100644	b14e1d4183690421ec891665236fffc388160d0f	3d35e16c4eba5878f2db31eac84ca40e265f49dea2f7e0a928c1744c1936ef29
gpu-surface-gap.data.md	100644	33c694c34194e5f0f42fc27d4f931ef80cefeea6	a738717aebb46536fed4256dde478371a3d9b1e00c0907f866326e86fe8da410
gpu-surface-gap.md	100644	df8c801ca6e82f1a24ed0919ae2150e5ce5f966b	7c0df56c5ed0865ae83f9cbcfcc7ca41aa34cdf297a0d4fa5afda28316c63353
guest-probes.md	100644	7821f8f589d507799ec4cbf0669c56b26f9a0ddd	d641c031885e481a164cc3dd176497eea52b1487334981241b7145d6ac2883f5
guest-write-watch.md	100644	8168807f5fe89c0ffd254c809b8afe175d39ef1a	238e5d0929c86d9f50be7f9723aca7545becb4f573c021e15055a1467f952a54
handoff-2026-07-23.md	100644	f250cc54866ba486ebb1263365c339173cc839e3	792cac6981e05b274d16dfcc08da572e0140994137abdc48988eeda4460f797c
handoff-2026-07-24.md	100644	861ab31c0b9ee45eaa4cdf6ecb609b6b474e92ca	d1edaec1a502d278b757813235e3f5a4a2c942ac678895108da91094a62e170a
handoff-2026-07-27.md	100644	e6dc7568a2665f441fb3eb98c69ed1d38388d33a	5641df0b102bd254da542d1bf5a8bfd9f1ed830037a7e2e69f2f5db549c137ac
host-azure-v620.md	100644	7d6d7c0c3595210e5f60cc466a3039af05e252c8	6fa98f9b3c258e016ff9cd69212b34f970e2efca19e8dac59701843f8d1a4c0b
isa-contract-table.md	100644	4026e310ec5ea2e69b26decd494a52a39b1782b0	320f3e2ee7d76bd71a7580efaf02b18758258da0029126c600e508b0c0bfc802
isa-vop3-review.md	100644	4363de96be128b4e3482550fecb4f9f6a0906281	71a4c678deaddcabd5eb8c8c75f8056262035be6422413c46b94a276badafc9d
kytyps5-shell-migration-handoff.md	100644	b98349c91909d6fe075f851f09f4014cc3e16108	13bd47b9cc4d786348829ecab8b1646a60a32bfb700d01d7a35f20e37afdbce6
methodology-execution.md	100644	a9e5a6641a6b23eae8d7216a288d9c41e42f69dc	2d9e0142a23c6933f260727160c63c315d07835a2b81d9ac59cf8b40e6e2ba51
minecraft-bringup.md	100644	693fed00bd365ce54e1b1b5b9a799a46d9178844	03e7f76e8294705b49b9182c7c908af26f65130a654062be2232d8566a05194b
mission.md	100644	711c4469f82677d184acfb6ea25bcc8727647682	7d7322b036fba285b6672ab0c86ae150f3c04c07ef428a8922be510dcf571afc
nid-firmware-audit.md	100644	7c251dadf8f8ba00e80509337310fc5829f6571a	f97c42ac772db1cffe6dc38b6aa5fdd74dcda34434a72646e661869270e80409
orchestration.md	100644	9dcb8e09d436f65eda099b38b4febadcae4c5ed6	5ce33e9881c71bff378be8c07844bb2df7e59bf432730c59c93b7d4ff5f10031
os-surface-gap.md	100644	467e4bdde092a8b7ea5a835610517efe9abc1e7f	15512d547d731cb08a0c25e66a10bd434b28a8f1f79086e90f3b2e701a335050
prospero-isa-gaps.md	100644	ee3f889d79d452f088d1b9db4177a3a8797a6a57	0e4c4998d6849a13a3416d8646f2abc2405b4fc608033f602c9be00b54e02155
prospero-isa-gaps.txt	100644	83aa6dab8f52c483c1ddbcdfe745fd8a734a0f2e	c187baca40ce91eb9f1448924158924807ae1fda10d4591e0e19ed8dc2d9182f
prospero-isa-source.md	100644	235abb8bc8f1cac516e39efa4bb886c850a73b2d	979f749a09ee62350c80ea4399be71f010bd0eb25e06ec41e869f247c4f9f522
ps5-background-native.md	100644	4871e76bbd6f2d071532f5b2b9bffa97bd58e644	f2e081fdbe2045c9f0e547ea47936bb355b1583f582a586648dc423da47e2339
ps5-background.md	100644	e9763472bf13c5226975efd9824f65142576d855	02be209c7df6a7c39e4e654d26f5c127cbc3cb0e58aa6931af858c347b3be700
ps5-boot-animation.md	100644	592adf17c556506acf0192d2b212bb5ef61120f6	61ab31d51806dc3d88ebc436357df7a123a42a63a6ca183068db39c28be4c87f
ps5-control-center.md	100644	370d6786ae644e43457174f5000c6ae8615c1f6a	45f275cbd893ba6e167fed0885d5aaa4640567bb2f9eca91260f2131e24a25b9
ps5-core-dumps.md	100644	96ad0dd71ef298d97b331bdde0672d7ef9e88d95	4ba64bdf1fa9b6c2dfaeebe1605837816597fc01a76493572a1ccf6ec43d82f7
ps5-fidelity-review.md	100644	467eb0078430ac1e1630145d6714ce36bc5eddee	4f60b47b3bebcfce5cddc99f4100c0dc57a5478c30757d61cc81fe43a1f15019
ps5-figma-layout.md	100644	a70c29c6d9fa447897e8ddb35eda8d0b8f853b50	f12af0fe2767b15e5af23f94d1875fda58a4bca2e6e36cb17e25e4318be345a7
ps5-focus-highlight.md	100644	b5b43ea024d6255cca31c1cc875e565cc52cbb8a	e09a3b25519f940159a902641b86807bbf4a6a52884f15ce2eb6a1d1c789c232
ps5-fonts.md	100644	889aa9bcd204af66ad767632ee4974a9fa753b96	31eff97063daf33565f45a2fabb5e78a22afdcf4461ca849e3c02d4a4942d6c1
ps5-home-motion.md	100644	58dffc46edaf03dc8ea10cf8edc6c246cb76ac2a	033dad7b757e7ee871d8b825dd870dffcb5403a68eddc3439859b60362453f70
ps5-home-structure.md	100644	b4e42dcc98b2d6ee7894bcdf2aea02b41b98455b	5fbe34fb58bb6398213d460e4ec905b410d86c4ad4a190390ceb556c1fe6454b
ps5-home-theme.md	100644	48dbc44353087ff776b1ad92f6b079191183307c	f77d2d252650b88c1f50af00357d684b2f7068391778be2d42b084b17599ca70
ps5-hub-and-cards.md	100644	ffdf5b15ebef836922d401b8f691784136be8caf	d32fc4b671538082a97ccf27445cff535a6899eb6a4c8a985b03df44d6547363
ps5-icons.md	100644	469354538728ab14bb1f03939fc2a6c21a5dc145	59e86ff4e64159598d99fdee43cfba8da28f17ec71933d0eb54e5991982e53f5
ps5-options-menu-and-focus.md	100644	4218aaf03d75ab28cb65afa05749a297cc21643d	240e17d506279339068fa2e3c287ec052ee2aac4dcf4f8080f6f024ed5fbdcc8
ps5-pup-format.md	100644	b60900d92e1c77004838db3394a72a7d40c77284	f074c64bff0b475e56bb20fdaffb79d8f2feaaf31dac0e183e648723453a1f16
ps5-re-understanding.md	100644	beee5383f67273d63bd1342b57bf1051792b19c3	89b9cb61c2dd15dc094b961f89dcf929758e7bccd74f4010bcf86007a795c883
ps5-reactive-shell.md	100644	d35b130f91599913eeb7684b1604ebe39b0d2744	24f96dc418de18ee6cafccb40e4faf732393618bc9b9f48695c07bfbc9dd14b9
ps5-reverse-engineering-index.md	100644	d7de56a80c55e12526e485183cd1cf4d3757ae92	41360bd0e0b62daeb08562327c70c6d0633cdc70b6c4be2e72bcc854ba7fe4e3
ps5-rn-bundle-map.md	100644	87cbf841451f0a45aa702f4092a36f52cf056cf9	a60e898704295319423f052043aeda3022591885d0633052f3e04995b4e221bd
ps5-rn-layout.md	100644	733354ddb5f19f8bc43f85380d4e306f28274842	3895ce31ff66d0caa96da561973b0b3d9a39fe9a79df62459b891ea2f3fb624d
ps5-settings-integration.md	100644	cded80a2d4d142556bdc857518ce53c2ea61abc1	09884644921554d9c07347185059461062e72cf2be2be7f4da1c49ad63f38ab5
ps5-shader-isa-audit.md	100644	9cff5e7f1e6a3fe05722c260ca4ebaabe356773a	39f14a2877a63ff5d2ef05627c85a98d2b0b9e3e73db0e445e66792ac96955e0
ps5-shell-boot-attempt.md	100644	27d1bbe5ca7a33d951f51ee0eafe188d3d4fb7b5	bd1ec03a180d0df876b46971f645ef4d9822c37cc57f0aef736676d644f34a25
ps5-shell-metadata.md	100644	1ee64fa8d0bde6fd6140b635875015876aa1233c	3ea8a5ff34fa86ed96d335b2140491ce9a6759ad39ffb422af1ad710ebc34418
ps5-shell-motion.md	100644	eb3ac57b69121befe2ea748847045e937dfe7050	4925fcc7de98157642b523f3af36e2261932ed8478851024375083ada3d5e23e
ps5-shell-overlays.md	100644	9807744722448b4180dcafb0d6016e06890d20ac	befe6c51e96eb752ec06836b0ff8957efed830837af961824bed5e68481892af
ps5-shell-theme.md	100644	c53080b785a5dd73f7aa0d40c7ad90086344d9f5	2160f6331a84c838b665d0329caaca884fb9fa0e038ccf29248ed3eabe4b9733
ps5-toasts.md	100644	06f009373ebe4bfe052eb7a514fa09baf14d2c9d	fec65972bd04eb6a2fd569c640e90787b3622fa0eebf0533a36a683faf0ad24d
ps5-ui-gap-analysis.md	100644	66e4485041e8dab7701cb30a737c5d8f3ba82e57	f3d59b0ca8908ef89756d69fa235876a9e33640b62e4b28b33286e80d4906605
ps5-ui-state-of-work.md	100644	a1bda92292c095635b6241e57d88cdd7dc62fdb9	7ec5ceb14bcff7bcccf9e375b92437d38054d98cc4e88e849086158452c316c0
ps5-unknowns.md	100644	4ca9fe84a21608c1e72babb0d7f24396aa953017	88a408047e0902cc44fbe2f9be5d9e5b51c6afc39c556d67211220dc14609e5b
rco-format.md	100644	be5249419b8dc04e8eb361c3fee9f120fc79dc5e	2c899e967adcefcbf6d2eaca1ceee2fe624c983b8fa7e9f0c3db5efaefe32177
release-use.md	100644	e5e7fd09314e48a23e06aeaeeb99a4a89fae3503	9e5e3149d66aeb80dc1d7969161c697b3cca579d7e918603f8c3ec706847c05a
rnps-shell.md	100644	b33ca97ad1731aa7dbd3506a72d764a369ca090d	61054b32859dd8047451fee1a360fda97692cac0ce37a593d89d7c1ef541e9fc
self-differential-oracle.md	100644	1a385b89af5e9db6a903b9089a8bf647fcd60285	8b89807fc150751da3e04d88ffd8ad6f65a92acdf23e312a0e62f986ff7fe94d
shell-mono-boot-invocation.md	100644	7672ecdb9d932a01de994e36e0965d55268ceb85	302f578a0c5a17a9960371c9ce1194eafe30c12c71750896492edc38fd335fd7
source-alignment-audit.md	100644	b7919bc616f3c11196ca4d488c52c812334c7ea8	1079f0205a35b3fcdb3b45272b1197e4b787a711679bbc86c4ff447de4e448aa
stub-census.md	100644	714282e88f70be797ab807e500594eb7719e4ae2	9d39fca6ead7570e9da51853f7ca31924cbae8e3b9006ccb1f1b1492f07ea9be
superliminal-boot.md	100644	1528dd8e14681787ada4b02a4fa6c1e338070696	dec8eb8e2f8d13512885e6efe9823e94d73ed0a038b99498b1522400d3246dd8
superliminal-reasoning-audit.md	100644	3a60ff30f17edc199c530179d496c66b6668cd07	697666ea0677ea5487867c95ef323a109f8d080e57dd17885f6fa214e546bd0a
superliminal-status.md	100644	bbad9f26b6eb18ce21b91fb74ab540f1fca360da	59e3a185ab359fb8913e0a9182b4c847b6ef9f960ded9400518ae4427abd59e3
swarm-audit.md	100644	b6da1c0797bce01110de14c6e360b58bb6172940	c001c910892060b45c5129474d221129b80db6bb782f4915ee47eeeeee1143a3
what-the-firmware-taught-us.md	100644	c4242e9c5c2d5fe4b9ea31da119ecd1ccbbc5e0c	d2db743b48e742e2120e16f846679a83a2a1b931dc214bd7f0449e143ed2223a
